Name,Description,Color,Color Sample
Needs: Attention :wave:,"Reply has been added to issue, maintainer to review",E99695,Picture
Needs: Author Feedback :ear:,Awaiting feedback from the issue/PR author,F18A07,Picture
Needs: Ext. Changes :hammer_and_pick:,When an issue/PR requires changes that are outside of the control of the module,DE389D,Picture
Needs: More Evidence :balance_scale:,We are looking for more evidence to make a decision on this,F64872,Picture
Needs: Triage :mag:,Maintainers need to triage still,FBCA04,Picture
Status: Awaiting Release To Be Cut :scissors:,"This is fixed in the main branch but not in the latest release, will be fixed with next release cut",800080,Picture
Status: Do Not Merge :no_entry:,Do not merge PRs with this label attached as they are not ready or aligned to future direction etc.,8b4513,Picture
Status: Ext. Contribution :earth_africa:,This is being worked on by someone outside of the owners/contributors or core team,D8FA2C,Picture
Status: Fixed :white_check_mark:,Auto label applied when issue fixed by merged PR,90ee90,Picture
Status: Help Wanted :sos:,Extra attention is needed,ff4500,Picture
Status: In PR :point_right:,This is when an issue is due to be fixed in an open PR,ededed,Picture
Status: Invalid :x:,This doesn't seem right,e4e669,Picture
Status: Long Term :hourglass_flowing_sand:,"We will do it, but will take a longer amount of time due to complexity/priorities",B60205,Picture
Status: No Recent Activity :zzz:,When an issue/PR has not been modified for X amount of days,808080,Picture
Status: Wont Fix :-1:,This will not be worked on,ffffff,Picture
Type: Bug :bug:,Something isn't working,d73a4a,Picture
Type: Documentation :page_facing_up:,Improvements or additions to documentation,0075ca,Picture
Type: Duplicate :palms_up_together:,This issue or pull request already exists,cfd3d7,Picture
Type: Feature Request :heavy_plus_sign:,New feature or request,a2eeef,Picture
Type: Hygiene :broom:,"things related to testing, issue triage etc.",17016A,Picture
Type: New Module Proposal :bulb:,A new module for AVM is being proposed,add8e6,Picture
Type: Question/Feedback :raising_hand:,Further information is requested or just some feedback,CB6BA2,Picture
Type: Security Bug :lock:,This is a security bug,ffff00,Picture
Status: Module Orphaned :eyes:,The module has no owner and is therefore orphaned at this time,f4a460,Picture
Type: AVM :a: :v: :m:,This is an AVM related issue,f0ffff,Picture
